date,id1,id2,k1,k2
2/20/2021,C3,D2,3,2
2/25/2021,B1,B5,3,1
2/26/2021,A4,C6,2,3
2/26/2021,A5,D3,2,3
5/2/2021,A3,E0,1,3
5/12/2021,B1,E1,2,3
5/12/2021,C6,E2,3,2
5/24/2021,D4,E3,1,3
5/24/2021,C2,C4,3,2
5/25/2021,C5,D5,1,3
5/27/2021,A3,E1,3,0
5/27/2021,B1,E2,2,3
5/29/2021,C6,E3,3,2
6/1/2021,D2,E0,2,3
6/4/2021,B6,D5,0,3
9/13/2021,D0,D1,3,1
9/13/2021,C6,E0,3,2
10/2/2021,E1,E2,3,2
10/2/2021,A5,E3,2,3
12/5/2021,D0,E0,1,3
12/5/2021,A6,D2,3,1
1/16/2022,B4,D3,0,3
1/17/2022,A3,E2,2,3
1/18/2022,E1,E3,3,2
1/19/2022,B1,E0,0,3
1/20/2022,B4,E1,1,3
3/5/2022,C1,D1,0,3
10/25/2023,F2,F3,2,3
11/15/2023,F0,F1,0,3
11/17/2023,C3,E2,3,2
11/25/2023,A6,F0,0,3
4/19/2024,B6,F1,1,3
4/26/2024,C4,F2,1,3
4/27/2024,D4,F3,0,3
5/24/2024,E3,F0,3,2
6/23/2024,D3,E0,3,1
6/28/2024,A5,F1,2,3
7/1/2024,B6,F2,2,3
7/3/2024,C5,F3,2,3
7/5/2024,D4,F0,1,3
7/7/2024,E1,F1,1,3
7/11/2024,A6,E2,3,1
7/12/2024,A4,F2,3,2
7/13/2024,B3,F3,0,3
7/21/2024,C7,F0,3,1
7/22/2024,D5,F1,2,3
8/4/2024,E3,F2,3,2
10/19/2024,A7,F3,1,3
10/19/2024,B2,F0,1,3
10/20/2024,A9,G0,2,3
10/20/2024,B2,G1,3,2
10/21/2024,C7,G3,2,3
10/24/2024,D0,G2,1,3
10/25/2024,E0,G0,3,2
