date,id1,id2,k1,k2
2021-02-20,C3,D2,3,2
2021-02-25,B1,B5,3,1
2021-02-26,A4,C6,2,3
2021-02-26,A5,D3,2,3
2021-05-02,A3,E0,1,3
2021-05-12,B1,E1,2,3
2021-05-12,C6,E2,3,2
2021-05-24,D4,E3,1,3
2021-05-24,C2,C4,3,2
2021-05-25,C5,D5,1,3
2021-05-27,A3,E1,3,0
2021-05-27,B1,E2,2,3
2021-05-29,C6,E3,3,2
2021-06-01,D2,E0,2,3
2021-06-04,B6,D5,0,3
2021-09-13,D0,D1,3,1
2021-09-13,C6,E0,3,2
2021-10-02,E1,E2,3,2
2021-10-02,A5,E3,2,3
2021-12-05,D0,E0,1,3
2021-12-05,A6,D2,3,1
2022-01-16,B4,D3,0,3
2022-01-17,A3,E2,2,3
2022-01-18,E1,E3,3,2
2022-01-19,B1,E0,0,3
2022-01-20,B4,E1,1,3
2022-03-05,C1,D1,0,3
2023-10-25,F2,F3,2,3
2023-11-15,F0,F1,0,3
2023-11-17,C3,E2,3,2
2023-11-25,A6,F0,0,3
2024-04-19,B6,F1,1,3
2024-04-26,C4,F2,1,3
2024-04-27,D4,F3,0,3
2024-05-24,E3,F0,3,2
2024-06-23,D3,E0,3,1
2024-06-28,A5,F1,2,3
2024-07-01,B6,F2,2,3
2024-07-03,C5,F3,2,3
2024-07-05,D4,F0,1,3
2024-07-07,E1,F1,1,3
2024-07-11,A6,E2,3,1
2024-07-12,A4,F2,3,2
2024-07-13,B3,F3,0,3
2024-07-21,C7,F0,3,1
2024-07-22,D5,F1,2,3
2024-08-04,E3,F2,3,2
2024-10-19,A7,F3,1,3
2024-10-19,B2,F0,1,3
2024-10-20,A9,G0,2,3
2024-10-20,B2,G1,3,2
2024-10-21,C7,G3,2,3
2024-10-24,D0,G2,1,3
2024-10-25,E0,G0,3,2
2024-10-26,F1,G1,3,2
2024-10-26,G2,G3,3,2
2024-11-02,A8,G0,3,1
2024-11-04,B2,G2,2,3
2024-11-06,C7,G1,1,3
2024-11-08,D1,G3,1,3
2024-11-08,E1,G0,2,3
2024-11-09,A7,H0,2,3
2024-11-10,B2,H1,1,3
2024-11-13,C7,H3,3,2
2024-11-16,D3,H2,2,3
2024-11-22,E3,H0,1,3
2024-12-14,F3,H1,3,0
2024-12-15,G1,H3,3,2
2024-12-16,H0,H2,2,3
